Intereses y descuentos ganados (51)	Intereses causados (41)	Comisiones ganadas (52)	Ingresos por servicios (54)	Comisiones causadas (42)	Utilidades financieras (53)	Pérdidas financieras (43)	Provisiones (44)	Gastos de operación (45)	Otros ingresos operacionales (55)	Otras pérdidas operacionales (46)	Otros ingresos  (56)	Otros gastos y pérdidas (47)	Impuestos y participación a empleados (48)	Segmento	Cooperativa
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2	string
														class	meta
0.033722736445658326	0.02315932019007943	1.0059616054532093e-05	0.011512823078241946	0.050490062906538256	0.0004981168617207963	0.11496664284916967	0.08480900652384482	0.04722603883457132	0.00013753140784313644	0.9984030598142544	0.17563111544703183	0.19816192054299409	0.00297119819205756	1	15 DE ABRIL LTDA
0.11472260904103894	0.09259970260639383	0.012728708040253204	0.03660672931319838	0.006089389757056303	0.0013598274728233248	0.021147230096535727	0.15219966931494053	0.0979035756951288	0.0	0.0	0.07062598480752834	0.0017602612827162605	0.23176832969594657	1	23 DE JULIO LTDA
0.26850681758991873	0.2387756057624556	0.0	0.14636778015990823	0.9819354365650284	0.09682092107077242	0.5270602004799785	0.34019732638163575	0.20995922687098043	1.0	0.0	0.1910906081114778	0.03981804262644278	0.6220483662773422	1	29 DE OCTUBRE LTDA
0.032442184801828935	0.030441896316671137	0.044555500868665686	0.018600493418399998	0.0	0.0	0.0	0.01708385005571562	0.04104298665193349	0.0006491070903961991	0.0	0.007520409919983038	2.8463198045234233e-05	0.05024551302390701	1	ALFONSO JARAMILLO LEON CAJA
0.3373684545616471	0.24979349905592935	0.0	0.0758846367597656	0.5301726548314829	0.003942723829190769	0.0	0.6655848444788615	0.16441469313257037	0.00019237491574298444	0.0	0.07777544622627576	0.025773366696568514	0.6432703676406664	1	ALIANZA DEL VALLE LTDA
0.09068120372503798	0.07455775408614436	0.0	0.028752045775978112	0.011747420760270922	0.000951320959462399	0.0	0.09793294892115784	0.07497316499731155	0.0	0.0	0.03535505769201373	0.0686395215802536	0.156957833838776	1	AMBATO LTDA
0.14712997381561632	0.15785511202793115	0.0	0.04597810921737373	0.0	0.0022554527795364395	0.4197762261120428	0.05437178268134531	0.1330792462000162	0.0	0.0	0.11425023995092742	0.04015027063354292	0.19880326269191959	1	ANDALUCIA LTDA
0.11325824960168368	0.08969805719419129	0.0017184695969642866	0.02675435561803978	0.007739350746787203	0.001364561423990682	0.23352616126974107	0.10756179216026235	0.09676895400500038	0.0	0.48515908766901994	0.05704553071811479	0.005019289150898486	0.29658390140005075	1	ATUNTAQUI LTDA
0.07238098750213263	0.07645587329718491	0.062253591269479	0.0034537164888340907	0.0	0.07376618438981276	0.18476387218995108	0.01030930792473912	0.06655069281522968	0.0040276377621758916	0.02702123784943428	0.1525511223435803	0.3683327679448087	0.0	1	CAMARA DE COMERCIO DE AMBATO LTDA
0.10822921318425759	0.10160700531766838	0.008328368026363398	0.01846762041415614	0.017729460296733973	0.0	0.0	0.059891388211829294	0.11365177291358465	0.07994558303146838	0.0	0.06576945018011689	1.4016079803875517e-06	0.17085356957582443	1	CHIBULEO LTDA
0.03251965638566595	0.017413167587043345	0.009948450500091638	0.015479415886705443	0.0	0.0	0.0	0.026273885769257033	0.04009358421889104	2.971853381559514e-06	0.0	0.023184305496520664	0.04185138484141597	0.14352941873613181	1	CHONE LTDA
0.03647876930874242	0.02914443961497706	0.0	0.011329623669121916	0.0	0.0009450209789947294	0.0	0.023061625330859047	0.043641090733940735	0.04703940562075618	0.0	0.017959265746696387	0.0014751904445350524	0.10850693425027441	1	COMERCIO LTDA
0.2972724207605083	0.3024113670616662	0.44875101837681997	0.10548072986254338	0.016059664661405324	0.5820293977650227	1.0	0.3264672066216962	0.20700815175865428	0.12233857429812836	0.15243531477146605	0.08532298002251887	0.017044485492010042	0.14373261422380726	1	COOPROGRESO LTDA
0.06063451581899661	0.061214039293172345	0.010286410551617376	0.02538557631460678	0.0	0.0007588069453232107	0.0	0.017052224390788087	0.07586153720488058	0.0	0.017875549897194348	0.014185440705461749	0.005979310469727284	0.00012826216540345105	1	CREA LTDA
0.1391775194357689	0.12782983252521302	0.004366094271397855	0.029143849466791157	0.0	0.24790846326823884	0.07395318623539328	0.13662724787925223	0.08721065305958066	0.007380351174849373	0.0	0.05194901278557481	0.07662698930482113	0.32115006167999266	1	DE LA PEQUEÑA EMPRESA BIBLIAN LTDA
0.1885720496334043	0.12820636480688086	2.3461109064117073e-05	0.01711630560659197	0.007739350746787203	0.002486711075830689	0.2346007250557963	0.27549491666065834	0.09769182648425535	0.04430759920197667	0.6032794283847436	0.07529695489148755	0.2239932017986016	0.5799312807231174	1	DE LA PEQUEÑA EMPRESA DE COTOPAXI LTDA
0.0819277821722456	0.06853620818804573	0.02802486686110896	0.00712280103494492	0.08168590392686313	0.002608514683013016	0.0	0.05080831817648784	0.07382758076263728	0.0038406825584556483	0.0	0.021112921294964875	0.01093915052565289	0.2121790210451791	1	DE LA PEQUEÑA EMPRESA DE PASTAZA LTDA
0.06304612489618518	0.03876679400588761	4.216995581418436e-06	0.0041434878767230175	0.007749101714493969	0.0006559510972324521	0.0	0.010684796051753364	0.05964449246695609	0.0	0.0	0.017064617893675756	0.00046851043661297646	0.4850182582475073	1	DE LOS SERVIDORES PUBLICOS DEL MINISTERIO DE EDUCACION Y CULTURA
